Designator,Mid X,Mid Y,Rotation,Layer
BAT1,131.85,-121.875,0.0,bottom
C1,139.446,-117.361,90.0,top
C2,128.645,-111.49,0.0,top
C3,127.254,-99.581,90.0,top
C4,127.0,-96.2,90.0,top
C5,129.9,-109.175,90.0,top
C8,137.525,-103.5,180.0,top
D1,124.38,-98.0975,90.0,top
D2,128.5775,-114.96,180.0,top
J2,131.602,-120.961,0.0,top
MOD1,131.9,-104.485,0.0,bottom
Q1,131.9475,-105.918,180.0,top
Q2,138.618,-105.806,0.0,top
R1,135.636,-105.727,270.0,top
R2,128.6,-96.2,90.0,top
R3,137.16,-101.092,270.0,top
R4,124.777,-111.506,0.0,top
R5,128.605,-113.08,180.0,top
R6,123.698,-121.221,90.0,top
R7,123.698,-117.539,90.0,top
SW1,133.875,-96.745,180.0,top
U1,132.842,-101.6,0.0,top
U2,125.6,-106.1,0.0,top
U3,124.5925,-114.112,180.0,top
U5,135.89,-111.506,90.0,top
j3,132.06,-121.412,0.0,bottom
